"project","organism","file_source","project_home","project_type","n_samples"
"SRP059663","mouse","sra","data_sources/sra","data_sources",3
"SRP183514","mouse","sra","data_sources/sra","data_sources",5
"SRP049514","mouse","sra","data_sources/sra","data_sources",6
"SRP052914","mouse","sra","data_sources/sra","data_sources",6
"SRP130914","mouse","sra","data_sources/sra","data_sources",18
"SRP214114","mouse","sra","data_sources/sra","data_sources",91
"SRP126314","mouse","sra","data_sources/sra","data_sources",40
"SRP137014","mouse","sra","data_sources/sra","data_sources",100
"ERP023614","mouse","sra","data_sources/sra","data_sources",11
"SRP221714","mouse","sra","data_sources/sra","data_sources",7
"SRP131314","mouse","sra","data_sources/sra","data_sources",6
"ERP113014","mouse","sra","data_sources/sra","data_sources",54
"SRP151014","mouse","sra","data_sources/sra","data_sources",44
"SRP121014","mouse","sra","data_sources/sra","data_sources",6
"ERP012814","mouse","sra","data_sources/sra","data_sources",20
"SRP051814","mouse","sra","data_sources/sra","data_sources",8
"SRP056114","mouse","sra","data_sources/sra","data_sources",12
"SRP218614","mouse","sra","data_sources/sra","data_sources",39
"SRP089914","mouse","sra","data_sources/sra","data_sources",12
"DRP003214","mouse","sra","data_sources/sra","data_sources",40
"DRP001314","mouse","sra","data_sources/sra","data_sources",3
"SRP201114","mouse","sra","data_sources/sra","data_sources",108
"SRP030014","mouse","sra","data_sources/sra","data_sources",9
"SRP170614","mouse","sra","data_sources/sra","data_sources",2
"SRP077714","mouse","sra","data_sources/sra","data_sources",8
"SRP219614","mouse","sra","data_sources/sra","data_sources",24
"SRP124314","mouse","sra","data_sources/sra","data_sources",16
"SRP099814","mouse","sra","data_sources/sra","data_sources",2
"SRP216314","mouse","sra","data_sources/sra","data_sources",7
"SRP153814","mouse","sra","data_sources/sra","data_sources",54
"SRP046114","mouse","sra","data_sources/sra","data_sources",2
"SRP154114","mouse","sra","data_sources/sra","data_sources",60
"SRP223514","mouse","sra","data_sources/sra","data_sources",60
"SRP140014","mouse","sra","data_sources/sra","data_sources",6
"SRP110714","mouse","sra","data_sources/sra","data_sources",6
"SRP063414","mouse","sra","data_sources/sra","data_sources",6
"SRP050114","mouse","sra","data_sources/sra","data_sources",4
"SRP118914","mouse","sra","data_sources/sra","data_sources",10
"SRP052014","mouse","sra","data_sources/sra","data_sources",9
"SRP057814","mouse","sra","data_sources/sra","data_sources",12
"SRP026214","mouse","sra","data_sources/sra","data_sources",26
"DRP005314","mouse","sra","data_sources/sra","data_sources",3
"SRP158614","mouse","sra","data_sources/sra","data_sources",4
"SRP092614","mouse","sra","data_sources/sra","data_sources",6
